Unnamed: 0,Jan Feb,Mar,Apr,Mei,Jun,Jul,Agu,Sep,Okt,Nov,Des
"2020,""52,93 56,32"",""33,90"",""5,36"",""6,13"",""15,50"",""27,83"",""39,86"",""36,22"",""45,52"",""44,99"",""45,31"""
"2021,""24,91 26,87"",""40,42"",""36,78"",""32,27"",""45,73"",""13,32"",""20,91"",""41,13"",""61,65"",""64,66"",""68,77"""
"2022,""59,90 45,00"",""51,65"",""27,62"",""67,65"",""66,45"",""62,17"",""53,12"",""52,33"",""61,23"",""64,95"",""72,87"""
